latitude,longitude,year,week,fire_cnt_before,fire_before,fire_cnt_last_year,fire_last_year,fire_cnt_last_year_same_week,fire_last_year_same_week,Mandal_Nam,Dist_Name,confidence
16.1,78.77,2022,11,0.058823529,0.019607843,0.039215686,0.019607843,2,1,Amrabad,Nagarkurnool,60.93216658
16.11,78.52,2022,9,0.117647059,0.019607843,0.098039216,0.019607843,5,1,Kollapur,Nagarkurnool,86.0
16.11,78.58,2022,11,0.078431373,0.039215686,0.058823529,0.039215686,0,0,Kollapur,Nagarkurnool,68.88637261
16.11,78.59,2022,11,0.078431373,0.039215686,0.078431373,0.019607843,0,0,Kollapur,Nagarkurnool,68.88637261
16.11,78.6,2022,10,0.098039216,0.039215686,0.117647059,0.039215686,0,0,Kollapur,Nagarkurnool,68.88637261
16.11,78.61,2022,10,0.137254902,0.019607843,0.019607843,0.019607843,0,0,Kollapur,Nagarkurnool,87.0
16.11,78.62,2022,10,0.058823529,0.019607843,0.058823529,0.019607843,0,0,Kollapur,Nagarkurnool,60.93216658
16.11,78.64,2022,10,0.078431373,0.019607843,0.117647059,0.019607843,0,0,Kollapur,Nagarkurnool,80.93216658
16.11,78.65,2022,10,0.098039216,0.019607843,0.078431373,0.078431373,0,0,Kollapur,Nagarkurnool,85.0
16.11,78.67,2022,9,0.098039216,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,85.0
16.11,78.68,2022,9,0.058823529,0.019607843,0.058823529,0.019607843,3,1,Amrabad,Nagarkurnool,60.93216658
16.11,78.7,2022,9,0.078431373,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.11,78.71,2022,9,0.078431373,0.019607843,0.078431373,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.11,78.72,2022,9,0.078431373,0.039215686,0.098039216,0.019607843,0,0,Amrabad,Nagarkurnool,68.88637261
16.11,78.73,2022,9,0.098039216,0.039215686,0.137254902,0.058823529,0,0,Amrabad,Nagarkurnool,88.88637261
16.11,78.74,2022,10,0.117647059,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.11,78.76,2022,10,0.078431373,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,80.93216658
16.12,78.51,2022,9,0.058823529,0.019607843,0.137254902,0.019607843,7,1,Kollapur,Nagarkurnool,60.93216658
16.12,78.52,2022,9,0.058823529,0.019607843,0.019607843,0.019607843,1,1,Kollapur,Nagarkurnool,60.93216658
16.12,78.61,2022,10,0.117647059,0.019607843,0.058823529,0.019607843,0,0,Kollapur,Nagarkurnool,86.0
