latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,Mandal_Nam,Dist_Name,confidence
18.32285,79.00327,2023-02-22,8:11,N,VIIRS,2023,2,8,7d,Illanthakunta,Rajanna Sircilla,50
18.32355,77.99796,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Gandhari,Kamareddy,50
18.32361,77.72369,2023-02-26,20:16,1,VIIRS,2023,2,8,24h,Bichkunda,Kamareddy,50
18.32361,77.72369,2023-02-26,20:16,1,VIIRS,2023,2,8,48h,Bichkunda,Kamareddy,50
18.32361,77.72369,2023-02-26,20:16,1,VIIRS,2023,2,8,7d,Bichkunda,Kamareddy,50
18.33429,80.60123,2023-02-24,20:06,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.33489,80.59699,2023-02-24,20:06,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.3363,78.54017,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Machareddy,Kamareddy,50
18.3363,78.54017,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Machareddy,Kamareddy,50
18.3363,78.54017,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Machareddy,Kamareddy,50
18.3384,80.59756,2023-02-24,20:06,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.3393,78.53405,2023-02-27,7:28,1,VIIRS,2023,2,9,24h,Machareddy,Kamareddy,50
18.3393,78.53405,2023-02-27,7:28,1,VIIRS,2023,2,9,48h,Machareddy,Kamareddy,50
18.3393,78.53405,2023-02-27,7:28,1,VIIRS,2023,2,9,7d,Machareddy,Kamareddy,50
18.34001,78.53612,2023-02-27,7:28,1,VIIRS,2023,2,9,24h,Machareddy,Kamareddy,100
18.34001,78.53612,2023-02-27,7:28,1,VIIRS,2023,2,9,48h,Machareddy,Kamareddy,100
18.34001,78.53612,2023-02-27,7:28,1,VIIRS,2023,2,9,7d,Machareddy,Kamareddy,100
18.34087,78.89004,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Illanthakunta,Rajanna Sircilla,50
18.34215,78.49044,2023-02-23,7:01,1,VIIRS,2023,2,8,7d,Machareddy,Kamareddy,50
18.34437,78.49026,2023-02-23,7:54,N,VIIRS,2023,2,8,7d,Machareddy,Kamareddy,50
18.34475,78.17245,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Gandhari,Kamareddy,50
18.34585,78.4618,2023-02-20,8:49,N,VIIRS,2023,2,8,7d,Machareddy,Kamareddy,50
18.34683,77.83998,2023-02-21,7:39,1,VIIRS,2023,2,8,7d,Pitlam,Kamareddy,50
18.34691,78.17133,2023-02-24,7:37,N,VIIRS,2023,2,8,7d,Tadwai,Kamareddy,50
18.34777,78.48966,2023-02-23,7:54,N,VIIRS,2023,2,8,7d,Machareddy,Kamareddy,50
18.35009,79.65702,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Chityal,Jayashankar Bhupalpally,50
18.35009,79.65702,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Chityal,Jayashankar Bhupalpally,50
18.35009,79.65702,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Chityal,Jayashankar Bhupalpally,50
18.35134,78.1704,2023-02-24,7:37,N,VIIRS,2023,2,8,7d,Tadwai,Kamareddy,50
