latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,Mandal_Nam,Dist_Name,confidence
19.33644,78.66792,2023-02-11,758,A,MODIS,2023,2,6,Sirikonda,Adilabad,59
19.3368,78.67248,2023-02-11,1957,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33757,78.66956,2023-02-11,820,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33807,78.67265,2023-02-11,758,A,MODIS,2023,2,6,Sirikonda,Adilabad,53
19.33828,78.65658,2023-02-11,728,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33828,78.67501,2023-02-11,820,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33893,78.6552,2023-02-11,1957,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33908,78.65313,2023-02-11,2050,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.34002,78.67231,2023-02-11,820,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.34015,78.65822,2023-02-11,820,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.34133,78.67222,2023-02-11,728,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.34225,78.67442,2023-02-11,820,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.344,78.67171,2023-02-11,820,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.346,78.66333,2023-02-11,2050,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.34646,78.66522,2023-02-11,1957,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.35707,78.65228,2023-02-11,2050,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.36135,78.65315,2023-02-11,2050,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.36152,78.64982,2023-02-11,1957,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.40715,79.20769,2023-02-11,2050,N,VIIRS,2023,2,6,Asifabad,Kumurambheem Asifabad,50
19.40775,79.20411,2023-02-11,1957,1,VIIRS,2023,2,6,Asifabad,Kumurambheem Asifabad,50
19.5021,78.99012,2023-02-11,820,N,VIIRS,2023,2,6,Kerameri,Kumurambheem Asifabad,50
19.55708,78.5854,2023-02-11,2050,N,VIIRS,2023,2,6,Adilabad Rural,Adilabad,50
19.5579,78.58727,2023-02-11,2050,N,VIIRS,2023,2,6,Adilabad Rural,Adilabad,50
19.56136,78.58607,2023-02-11,2050,N,VIIRS,2023,2,6,Adilabad Rural,Adilabad,50
19.56225,78.58593,2023-02-11,1957,1,VIIRS,2023,2,6,Adilabad Rural,Adilabad,50
19.56958,78.60809,2023-02-12,800,N,VIIRS,2023,2,6,Adilabad Rural,Adilabad,50
19.6168,78.79725,2023-02-11,728,1,VIIRS,2023,2,6,Gadiguda,Adilabad,50
