latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,REGIONNAME,HRname,confidence
6.45816,35.97684,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,100
6.45818,36.01519,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45839,35.95126,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.4586,36.01831,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45903,36.02143,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,100
6.45912,35.97497,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45925,35.94878,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45945,36.02452,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.46,35.95323,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.46123,35.95835,2023-03-24,10:38,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,83
6.46198,35.94698,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.46239,35.96962,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.46255,35.95105,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.46283,35.97281,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.46312,35.9551,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.4647,35.9522,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.46547,35.95681,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.46953,35.83372,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.47016,35.94553,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.48918,35.94842,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.49839,36.07837,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.50778,35.80016,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.50931,37.28036,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.51078,35.49673,2023-03-24,10:38,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,71
6.51257,35.48623,2023-03-24,10:38,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,60
6.51381,37.27973,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.51492,35.79215,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.51994,35.5204,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.52134,35.51766,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.52168,35.93212,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.52193,35.51811,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.52243,35.52164,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.52484,35.51971,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.52642,35.52103,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.52736,35.87789,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.53285,36.15892,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.53368,35.62667,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.53386,35.62595,2023-03-30,11:06,1,VIIRS,2023,3,13,24h,SNNPR,SNNPR,50
6.53386,35.62595,2023-03-30,11:06,1,VIIRS,2023,3,13,48h,SNNPR,SNNPR,50
6.53386,35.62595,2023-03-30,11:06,1,VIIRS,2023,3,13,7d,SNNPR,SNNPR,50
6.53388,36.15742,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.5345,36.15578,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.54332,35.9015,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.54738,35.80285,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.5545,35.46152,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.55598,35.91231,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.55657,35.9121,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.55836,35.432,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.55907,35.43692,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.56061,35.91083,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.5623,35.43126,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.56305,35.43642,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.5631,35.78044,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.56699,35.95611,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.57272,35.41928,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.57349,35.42459,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.57796,35.59575,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.58476,35.90433,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.58764,35.43817,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.58852,35.44058,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.58999,35.43563,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.59164,35.43774,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.59245,35.43406,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.59336,35.43944,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.60173,36.93228,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.61616,35.53558,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.61718,35.54283,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.6173,35.66846,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.61769,35.51738,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.62153,35.5736,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.62187,35.67153,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.62323,36.89146,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.62375,36.91799,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.62514,35.52134,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.62722,35.52711,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.63395,34.85942,2023-03-23,22:33,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.64609,35.43983,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.6468,35.10375,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.64775,35.10532,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.6516,35.46929,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.65447,35.10186,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.65482,35.09903,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.65858,35.86899,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.65907,35.86902,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.65994,35.86388,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.66073,35.50461,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.66323,35.49358,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.66887,36.70801,2023-03-25,11:21,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,60
6.68935,35.67554,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.6904,35.68287,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.69312,34.84641,2023-03-30,11:06,1,VIIRS,2023,3,13,24h,Gambela,Gambela,50
6.69312,34.84641,2023-03-30,11:06,1,VIIRS,2023,3,13,48h,Gambela,Gambela,50
6.69312,34.84641,2023-03-30,11:06,1,VIIRS,2023,3,13,7d,Gambela,Gambela,50
6.69366,34.84997,2023-03-30,11:06,1,VIIRS,2023,3,13,24h,Gambela,Gambela,50
6.69366,34.84997,2023-03-30,11:06,1,VIIRS,2023,3,13,48h,Gambela,Gambela,50
6.69366,34.84997,2023-03-30,11:06,1,VIIRS,2023,3,13,7d,Gambela,Gambela,50
6.69586,35.23409,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.69642,34.99401,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.69926,34.84184,2023-03-30,11:06,1,VIIRS,2023,3,13,24h,Gambela,Gambela,50
6.69926,34.84184,2023-03-30,11:06,1,VIIRS,2023,3,13,48h,Gambela,Gambela,50
6.69926,34.84184,2023-03-30,11:06,1,VIIRS,2023,3,13,7d,Gambela,Gambela,50
6.69948,35.00454,2023-03-24,23:07,N,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.69972,34.99355,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.70005,35.0009,2023-03-24,23:07,N,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.7012,35.70177,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.70254,35.00148,2023-03-24,23:56,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.70281,35.00516,2023-03-24,23:07,N,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.7032,35.63665,2023-03-30,11:06,1,VIIRS,2023,3,13,24h,SNNPR,SNNPR,50
6.7032,35.63665,2023-03-30,11:06,1,VIIRS,2023,3,13,48h,SNNPR,SNNPR,50
6.7032,35.63665,2023-03-30,11:06,1,VIIRS,2023,3,13,7d,SNNPR,SNNPR,50
6.70337,35.00155,2023-03-24,23:07,N,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.71673,34.89704,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.71734,35.64122,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.72715,35.62372,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
